source_doc_id,date,sentence,found_term,accompanying_terms
1149,2014-09-01 14:10:00,"In this respect, I want to express our thanks to the Chinese Government and President Xi Jinping for directly supporting our joint efforts.",chinese,[]
1154,2014-09-03 16:10:00,It pushed back militarist Japan’s entry into World War II by nearly two-and-a-half years and gave great moral support to the peoples of China and Korea in their struggle against the aggressors.,china,[]
1156,2014-09-03 16:40:00,Mongolia is located between Russia and China after all.,china,[]
1156,2014-09-03 16:40:00,We are big trade and economic partners and have bilateral trade with China that will come to $64 or already 65–67 billion this year.,china,[]
1165,2014-09-11 15:30:00,"Mr President, my friend, our Chinese friends, it gives me great pleasure to welcome you.",chinese,[]
1165,2014-09-11 15:30:00,"Only recently, as you may know, we have launched a new major project in the Russian Far East, and my recent visit to China resulted in a breakthrough on this project.",china,[]
1165,2014-09-11 15:30:00,This was done with the direct support of the President of China.,china,[]
1165,2014-09-11 15:30:00,"Now we have practically begun its implementation, which, I am certain, will proceed in the same business-like manner and will be efficiently carried through by both parties – Russia and the People’s Republic of China.",china,[]
1165,2014-09-11 15:30:00,I am referring to the new gas pipeline system to China.,china,[]
1165,2014-09-11 15:30:00,This will help resolve many issues in both the actively developing Chinese provinces and in the Russian Far East.,chinese,[]
1165,2014-09-11 15:30:00,President of The People’S Republic of China Xi Jinping     Xi JinpingPresident of People's Republic of China  (retranslated):,china,[]
1165,2014-09-11 15:30:00,"Last month, right after the earthquake in Yunnan province in China you sent me a telegram of condolences.",china,[]
1165,2014-09-11 15:30:00,"Early this month you personally took part in the ceremony to launch the construction of the Power of Siberia gas pipeline, which shows how seriously you take the expansion of Chinese-Russian energy cooperation.",chinese,[]
1165,2014-09-11 15:30:00,"On my instructions our Deputy Prime Minister Zhang Gaoli attended the ceremony, which was a success and served as a stimulus and an example for strengthening Chinese-Russian cooperation in various spheres.",chinese,[]
1165,2014-09-11 15:30:00,We have set up an intergovernmental Chinese-Russian commission on investment cooperation.,chinese,[]
1166,2014-09-11 16:15:00,"Mr President, we are grateful for your initiative to meet in this format, and I am sure the President of the People’s Republic of China will confirm this.",china,[]
1166,2014-09-11 16:15:00,I would like to note in this connection that Russia and China bore the brunt of the attack from both Nazi Germany and militarist Japan.,china,[]
1166,2014-09-11 16:15:00,I already had the pleasure of inviting the Presidents of the People’s Republic of China and Mongolia to visit Moscow during these gala events.,china,[]
1166,2014-09-11 16:15:00,"Naturally, the geographic proximity of Mongolia, Russia and China help us implement beneficial long-term projects in infrastructure, energy and mining.",china,[]
1169,2014-09-12 13:30:00,We see great potential in the idea of developing a common SCO transport system that would make use too of Russia’s Trans-Siberian Railway and Baikal-Amur Mainline and be tied into China’s plans for developing the Silk Road route.,china,[]
1169,2014-09-12 13:30:00,"This agreement will help us to develop a network of road transport routes, including the Europe-Western China transport corridor, which links the ports on the Yellow Sea coast to the ports in Russia’s Leningrad Region.",china,"['europe', 'western']"
1169,2014-09-12 13:30:00,"Around 500 businesspeople from Russia, China, Kazakhstan, Kyrgyzstan, Tajikistan, India, Iran, and Belarus took part in the forum and more than 20 contracts were signed in the areas of education, information and communications technology, advertising and trade.",china,[]
1171,2014-09-12 19:00:00,"I had very constructive meetings with the presidents of Kazakhstan, Uzbekistan, Kyrgyzstan, and Tajikistan, and with the various participants and members of the Shanghai Cooperation Organisation, including President of the People’s Republic of China Xi Jinping.",china,[]
1171,2014-09-12 19:00:00,"China, as you know, is our biggest trade and economic partner and our bilateral trade will reach a figure of nearly $90 billion this year.",china,[]
1171,2014-09-12 19:00:00,China is our biggest partner among individual countries.,china,[]
1171,2014-09-12 19:00:00,"Our natural geographical proximity and Mongolia’s geographical location between its two biggest trade and economic partners – China on one side and Russia on the other – can encourage us into carrying out many joint projects, especially in infrastructure and the energy sector.",china,[]
1171,2014-09-12 19:00:00,We have an immense amount of work to do with our Chinese partners too.,chinese,[]
1171,2014-09-12 19:00:00,"Overall, we are happy at the way our relations with China are developing.",china,[]
1192,2014-09-30 16:00:00,"The main volume of Kazakhstani oil exports to the western markets – 18 million tonnes in 2013 – is shipped across the Russian territory, while this year Russia has organised the export of oil through Kazakhstan to the People’s Republic of China.",china,[]
1196,2014-10-02 14:50:00,"Among our priorities is greater business, trade, investment and technological partnership with Latin America, the Asia-Pacific region and our colleagues within BRICS, including China and India, naturally.",china,[]
1196,2014-10-02 14:50:00,"As you may know, during my May visit to Beijing, we signed a big package of Russian-Chinese economic agreements worth tens of billions of dollars.",chinese,['russian']
1196,2014-10-02 14:50:00,Among them is a 30-year contract for the supply of Russian gas to China.,china,[]
1196,2014-10-02 14:50:00,"Further, we intend to actively use our national currencies in our trade in energy resources and in other foreign economic transactions with both China and other countries.",china,[]
1196,2014-10-02 14:50:00,"Our Chinese colleague and friend spoke earlier, and I believe he also mentioned Russia’s agriculture as a direction for investment.",chinese,[]
1196,2014-10-02 14:50:00,"Our Indian colleague spoke earlier, before I arrived, and our Chinese colleague spoke too.",chinese,[]
1196,2014-10-02 14:50:00,"I am sure that when the Chinese investment fund’s representative described Chinese investment funds’ possibilities and opportunities, it couldn’t fail to make an impression on everyone present.",chinese,[]
1196,2014-10-02 14:50:00,"When you hear these kinds of figures, and they are real figures, not invented, you inevitably start pondering the question our Chinese colleague put to the audience, namely, how can we, each of us present here today, make use of China’s growth in our own economies?",china,[]
1196,2014-10-02 14:50:00,"That was back in 2005, when St Petersburg hosted the G8 summit and together with our Chinese and Indian colleagues we agreed to hold a tripartite meeting.",chinese,[]
